id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
592,Batshuayi,Michy,Batshuayi,23,4,7,a,,2019-02-01T16:31:21Z,6.2,-3,3,1,0.8,48,4.4,748,5,1,3,11,0,0,0,0,0,0,5,159,198.6,41.4,406,64.2
609,Woods,Sam,Woods,35,2,7,a,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,Dreher,Luke,Dreher,,3,7,a,,,4.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,0,0.1
619,Tavares,Nikola,Tavares,,2,7,a,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Pickford,Jordan,Pickford,1,1,8,a,,,4.9,-1,1,2,13.3,161,4.2,3420,0,0,14,46,0,3,0,1,0,94,13,706,776.4,10,0,78.5
155,Stekelenburg,Maarten,Stekelenburg,22,1,8,a,,2018-07-05T14:31:07Z,3.9,-1,1,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Baines,Leighton,Baines,3,2,8,a,,2019-03-01T16:01:19Z,5,-5,5,0,0.5,7,1.2,374,0,0,0,6,0,0,0,0,0,0,0,48,48.4,91.4,15,15.4
157,Coleman,Seamus,Coleman,23,2,8,a,,2019-05-10T13:31:22Z,5.2,-3,3,3,1.6,125,4.3,2558,2,2,13,30,1,0,0,1,0,0,12,548,515.2,387.3,274,117.6
158,Jagielka,Phil,Jagielka,6,2,8,a,,2019-03-07T15:31:19Z,4.3,-2,2,1,0.6,22,3.1,329,1,0,2,4,0,0,0,0,1,0,3,80,82.2,21.4,43,14.6
159,Williams,Ashley,Williams,5,2,8,u,Season-long loan to Stoke,2018-08-03T09:26:19Z,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Holgate,Mason,Holgate,2,2,8,u,Season-long loan to West Bromwich Albion,2018-12-31T15:31:17Z,4.3,-2,2,0,0.1,5,1,407,0,0,0,9,0,0,0,1,0,0,0,61,92.2,5,2,9.9
161,Kenny,Jonjoe,Kenny,43,2,8,a,,2018-11-02T18:01:13Z,4.1,-4,4,0,0.2,19,1.9,789,0,1,1,15,0,0,0,1,0,0,0,134,166.2,102.7,12,28
162,Keane,Michael,Keane,4,2,8,a,,2019-04-07T13:31:20Z,4.8,-2,2,3,4.3,129,3.9,2970,1,2,13,39,0,0,0,2,0,0,15,642,740.2,101.2,326,117.2
163,Martina,Cuco,Martina,15,2,8,u,Season-long loan to Stoke,2018-08-17T15:01:12Z,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Walcott,Theo,Walcott,11,3,8,a,,2019-04-25T14:31:22Z,5.9,-6,6,1,2.5,101,2.7,2108,5,3,6,33,0,0,0,1,0,0,4,292,420,342.9,699,145.7
165,Bolasie,Yannick,Bolasie,,3,8,u,Season-long loan to Aston Villa,2018-08-26T07:54:10Z,5.8,-2,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,McCarthy,James,McCarthy,16,3,8,a,,2018-07-05T14:31:07Z,4.4,-1,1,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.1,0,0.5
167,Schneiderlin,Morgan,Schneiderlin,18,3,8,a,,2019-04-08T14:01:19Z,4.2,-3,3,0,1.8,28,2,832,0,1,5,9,0,0,0,2,0,0,0,152,151.6,124.7,17,29.4
168,Gueye,Idrissa,Gueye,17,3,8,a,,2019-01-29T22:01:21Z,4.7,-3,3,0,0.3,78,2.4,2821,0,2,13,31,0,0,0,6,0,0,0,472,629.2,311.3,168,111.1
169,Davies,Tom,Davies,26,3,8,a,,,5,-5,5,0,0.1,26,1.6,975,0,0,2,19,0,0,0,3,0,0,0,127,122.6,96.2,103,32.1
170,Lookman,Ademola,Lookman,31,3,8,a,,2018-12-26T18:31:15Z,4.9,-6,6,0,0.1,34,1.6,600,0,3,1,8,0,0,0,0,0,0,0,110,131.4,172.1,211,51.6
171,Klaassen,Davy,Klaassen,20,3,8,u,Transferred to Werder Bremen,2018-07-27T13:20:35Z,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Sigurdsson,Gylfi,Sigurdsson,10,3,8,a,,2018-11-11T17:31:14Z,7.4,-1,1,3,8.3,182,4.8,3122,13,6,15,41,0,0,3,3,0,0,20,662,959.8,1098.5,1084,314.2
173,Vlasic,Nikola,Vlasic,27,3,8,u,Season-long loan to CSKA Moscow,2018-08-16T07:11:50Z,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
